size,disp,std,centroid_std,som_size,unused_som
250,0.25,0.07045747,0.036286499,3,0
250,0.25,0.074066036,0.032784291,4,0
250,0.25,0.073016669,0.034651667,5,0
250,0.25,0.071470258,0.037386373,6,0
250,0.25,0.071221053,0.033193673,7,0
250,0.25,0.070167008,0.035950015,8,0
250,0.25,0.071882653,0.035883875,9,3.703703704
250,0.25,0.070267214,0.035949946,10,6
250,0.25,0.071996792,0.034110185,11,8.26446281
250,0.25,0.070890792,0.034055293,12,11.11111111
250,0.25,0.073123527,0.033344221,13,15.97633136
250,0.25,0.07314934,0.033245531,14,23.46938776
250,0.25,0.071223177,0.035926167,15,25.77777778
250,0.25,0.072133129,0.033623451,16,33.984375
250,0.25,0.071450509,0.037546022,17,35.64013841
250,0.25,0.071424827,0.033389016,18,37.65432099
250,0.25,0.073078635,0.032657338,19,45.42936288
250,0.25,0.071729844,0.030932134,20,50.25
250,0.25,0.072433564,0.033695902,21,50.79365079
250,0.25,0.071524576,0.036398096,22,56.40495868
250,0.25,0.072988157,0.034507884,23,57.46691871
250,0.25,0.071882948,0.033096272,24,60.06944444
250,0.25,0.073099762,0.035870776,25,62.72
250,0.25,0.070415803,0.035157001,26,64.79289941
250,0.25,0.07298833,0.034275906,27,67.35253772
250,0.25,0.073064622,0.033484655,28,70.15306122
250,0.5,0.142789443,0.066180482,3,0
250,0.5,0.14627548,0.070209914,4,0
250,0.5,0.144823867,0.074090801,5,0
250,0.5,0.146162526,0.06922701,6,0
250,0.5,0.143986178,0.0689017,7,0
250,0.5,0.1455102,0.069786111,8,1.5625
250,0.5,0.141637432,0.06924731,9,4.938271605
250,0.5,0.145649019,0.06596818,10,4
250,0.5,0.146599872,0.07123008,11,4.958677686
250,0.5,0.147216772,0.065583051,12,10.41666667
250,0.5,0.146510367,0.070906325,13,19.52662722
250,0.5,0.142574966,0.073119987,14,22.95918367
250,0.5,0.145906283,0.073480635,15,26.66666667
250,0.5,0.1452717,0.070786538,16,30.859375
250,0.5,0.14180052,0.074894656,17,36.33217993
250,0.5,0.145353778,0.075830045,18,38.58024691
250,0.5,0.145423953,0.069060883,19,47.92243767
250,0.5,0.142618061,0.073969049,20,49.75
250,0.5,0.138950273,0.067973825,21,50.79365079
250,0.5,0.147306298,0.065717483,22,55.37190083
250,0.5,0.143535562,0.066603247,23,57.84499055
250,0.5,0.143683671,0.072100251,24,59.54861111
250,0.5,0.144056093,0.071744252,25,63.2
250,0.5,0.146547912,0.070081536,26,65.68047337
250,0.5,0.146076289,0.070061999,27,67.35253772
250,0.5,0.148447089,0.070260297,28,69.51530612
250,1,0.285509547,0.134711743,3,0
250,1,0.285480324,0.13868371,4,0
250,1,0.29338108,0.124829135,5,0
250,1,0.290816108,0.125092555,6,0
250,1,0.289555133,0.138405944,7,0
250,1,0.286819825,0.129433655,8,1.5625
250,1,0.293135747,0.148134501,9,4.938271605
250,1,0.288278463,0.128485661,10,4
250,1,0.29334294,0.136769876,11,9.917355372
250,1,0.287786955,0.141123243,12,11.80555556
250,1,0.287888991,0.141324213,13,13.60946746
250,1,0.288904756,0.138624425,14,19.89795918
250,1,0.293241302,0.138262888,15,30.66666667
250,1,0.288663718,0.138686388,16,28.90625
250,1,0.290680182,0.136305632,17,35.64013841
250,1,0.297801801,0.138523169,18,42.90123457
250,1,0.289353956,0.132039174,19,44.87534626
250,1,0.289735184,0.129293616,20,47.25
250,1,0.282436602,0.145815366,21,50.56689342
250,1,0.295933922,0.136959989,22,54.75206612
250,1,0.292137705,0.153769023,23,59.16824197
250,1,0.274810382,0.136326932,24,60.59027778
250,1,0.286559849,0.145454824,25,62.72
250,1,0.29562878,0.139365237,26,65.38461538
250,1,0.279235457,0.138630239,27,67.21536351
250,1,0.28732296,0.140383712,28,69.3877551
250,1.5,0.434018634,0.210626322,3,0
250,1.5,0.432709072,0.208239936,4,0
250,1.5,0.434432611,0.226769589,5,0
250,1.5,0.436246886,0.199516926,6,0
250,1.5,0.438163796,0.199495186,7,2.040816327
250,1.5,0.435227813,0.217484702,8,4.6875
250,1.5,0.454987329,0.212842663,9,3.703703704
250,1.5,0.439641253,0.21436845,10,4
250,1.5,0.429521296,0.216180537,11,4.132231405
250,1.5,0.44709169,0.207552467,12,13.19444444
250,1.5,0.441075807,0.197952209,13,14.79289941
250,1.5,0.435768651,0.208891467,14,25.51020408
250,1.5,0.429862539,0.200126793,15,28.44444444
250,1.5,0.416243839,0.204924879,16,33.984375
250,1.5,0.435310446,0.210632195,17,34.60207612
250,1.5,0.433185069,0.195267669,18,40.74074074
250,1.5,0.4309993,0.208079517,19,45.70637119
250,1.5,0.427198474,0.220880694,20,47.5
250,1.5,0.435570467,0.208403291,21,50.56689342
250,1.5,0.443499629,0.205115718,22,55.78512397
250,1.5,0.439887207,0.20643842,23,58.4120983
250,1.5,0.419531047,0.198914661,24,60.59027778
250,1.5,0.434643712,0.201110483,25,62.88
250,1.5,0.439093232,0.211883312,26,65.23668639
250,1.5,0.439705486,0.222250655,27,67.0781893
250,1.5,0.445137433,0.202307525,28,69.64285714
250,2,0.582209956,0.280424908,3,0
250,2,0.574138605,0.257250361,4,0
250,2,0.562014206,0.27475973,5,0
250,2,0.570499338,0.291535878,6,0
